# This file contains some sample data that can be fed into our aligner.
# This file may contain blank lines and comment lines, as long as
# the latter begin with a # symbol followed by a whitespace.
# In this case our data is very small and will be used only as an
# example of the way the program works for new users.
#ʃ é lʲ e s t	t r a n s p a r a n t
# tʲ e nʲ ó t nʲ i k	tʲ e nʲ ó t nʲ i k a
# tʲ e nʲ ó ʧʲ e k	tʲ e nʲ ó ʧʲ k a
# tʲ e n z ó mʲ e t r	tʲ e n z ó mʲ e t r a
# tʲ e n z o mʲ e t rʲ í s t	tʲ e n z o mʲ e t rʲ í s t a
# tʲ e nʲ í s t o s tʲ	tʲ e nʲ í s t o s tʲ i
# tʲ é n nʲ i s	tʲ é n nʲ i s a
# tʲ e n nʲ i sʲ í s t	tʲ e n nʲ i sʲ í s t a
# tʲ é n o r	tʲ é n o r a
# tʲ é n o r	tʲ é n o r a
# tʲ é n o r	tʲ é n o r a
# tʲ é n o r	tʲ é n o r a
# tʲ e n o r ó k	tʲ e n o r k á
# tʲ é n t	tʲ é n t a
# tʲ é nʲ	tʲ é nʲ i
# tʲ é nʲ	tʲ é nʲ i
# tʲ e o b r o mʲ í n	tʲ e o b r o mʲ í n a
# tʲ e o d o lʲ í t	tʲ e o d o lʲ í t a
# tʲ e ó l o g	tʲ e ó l o g a
# tʲ e o rʲ e tʲ i zʲ í r o v a nʲ i j e	tʲ e o rʲ e tʲ i zʲ í r o v a nʲ i j a
# tʲ e o rʲ é tʲ i k	tʲ e o rʲ é tʲ i k a
# tʲ e o rʲ e tʲ í ʧʲ n o s tʲ	tʲ e o rʲ e tʲ í ʧʲ n o s tʲ i
# tʲ e o s ó f	tʲ e o s ó f a
# tʲ e p l ó	tʲ e p l á
# tʲ e p l o vʲ í k	tʲ e p l o vʲ i k á
# tʲ e p l o v ó z	tʲ e p l o v ó z a
# tʲ e p l o v ò z o s t r o j é nʲ i j e	tʲ e p l o v ò z o s t r o j é nʲ i j a
# tʲ e p l o j ó m k o s tʲ	tʲ e p l o j ó m k o s tʲ i
# tʲ e p l o lʲ ú b	tʲ e p l o lʲ ú b a
# tʲ e p l o lʲ ú b	tʲ e p l o lʲ ú b a
# tʲ e p l o mʲ é r	tʲ e p l o mʲ é r a
# tʲ e p l o n o sʲ í tʲ e lʲ	tʲ e p l o n o sʲ í tʲ e lʲ a
# tʲ e p l o o b mʲ é n	tʲ e p l o o b mʲ é n a
# tʲ e p l o o b mʲ é n nʲ i k	tʲ e p l o o b mʲ é n nʲ i k a
# tʲ e p l o o b r a z o v á nʲ i j e	tʲ e p l o o b r a z o v á nʲ i j a
# tʲ e p l o p r o v ó d	tʲ e p l o p r o v ó d a
# tʲ e p l o p r o v ó d n o s tʲ	tʲ e p l o p r o v ó d n o s tʲ i
# tʲ e p l o r ó d	tʲ e p l o r ó d a
# tʲ e p l o sʲ é tʲ	tʲ e p l o sʲ é tʲ i
# tʲ e p l o s n a b ʒ é nʲ i j e	tʲ e p l o s n a b ʒ é nʲ i j a
# tʲ e p l o s t ó j k o s tʲ	tʲ e p l o s t ó j k o s tʲ i
# tʲ e p l o t v ó r n o s tʲ	tʲ e p l o t v ó r n o s tʲ i
# tʲ e p l o tʲ é x nʲ i k	tʲ e p l o tʲ é x nʲ i k a
# tʲ e p l o u s t ó j ʧʲ i v o s tʲ	tʲ e p l o u s t ó j ʧʲ i v o s tʲ i
# tʲ e p l o x ó d	tʲ e p l o x ó d a
# tʲ e p l o ʦ e n t r á lʲ	tʲ e p l o ʦ e n t r á lʲ i
# tʲ e p l o e lʲ è k t r o ʦ e n t r á lʲ	tʲ e p l o e lʲ è k t r o ʦ e n t r á lʲ i
# tʲ e p l í nʲ	tʲ e p l í nʲ i
# tʲ e p lʲ á k	tʲ e p lʲ a k á
# tʲ e r a pʲ é v t	tʲ e r a pʲ é v t a
# l u k n ó	l u k n á
# l u k o m ó rʲ j e	l u k o m ó rʲ j a
# l u k ó ʃ e ʧʲ k o	l u k ó ʃ e ʧʲ k a
# l u k ó ʃ k o	l u k ó ʃ k a
# l ù n a - p á r k	l ù n a - p á r k a
