#	This file contains the features of segments that I was able to obtain from Michael Becker.
#	Each feature is represented by a column of numbers and for every segment has the value of either
#	Feature names are collected every time the aligner goes through this file, but not
#	 stored at this time.  Potentially in the future they might be more actively used.
#	The question at this time is whether or not to expand the number of features in question to include
#	 for example, stress, duration of vowels etc.
consonantal	sonorant	continuant	delayed_release	approximant	tap	trill	nasal	voice	spread_gl	constricted_gl	labial	round	labiodental	coronal	anterior	distributed	strident	lateral	dorsal	high	low	front	back	tense	stressed
ɘ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	1	-1
ɵ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	1	-1
ɤ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	1	-1
o	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	1	-1
ó	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	1	1
ɛ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	-1	-1
œ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	-1	-1
ɚ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	1	-1	1	-1	-1	-1	-1	-1	-1	-1	-1	-1
ə	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	-1	-1
ɞ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	-1	-1
ʌ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	-1	-1
ɔ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	-1	-1
æ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	1	-1	0	-1
ɶ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	1	1	-1	0	-1
a	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	-1	0	-1
á	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	-1	0	1
# check with michael regarding below entry and all secondary stress markers
à	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	-1	0	1
ɑ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	1	0	-1
ɒ	-1	1	1	0	1	-1	-1	-1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	1	-1	1	0	-1
ĩ	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	1	-1
ỹ	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	1	-1	1	-1	1	-1
ɨ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	-1	-1	1	-1
ʉ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	1	-1	-1	-1	1	-1
ɯ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	-1	1	1	-1
ũ	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	1	-1	-1	1	1	-1
ɪ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	1	-1	1	-1	-1	-1
ʏ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	1	-1	1	-1	-1	-1
ʊ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	1	-1	-1	1	-1	-1
ẽ	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	1	-1
ø̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	1	-1
ɘ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	1	-1
ɵ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	1	-1
ɤ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	1	-1
õ	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	1	-1
ɛ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	-1	-1
œ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	-1	1	-1	-1	-1
ə̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	-1	-1
ɞ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	-1	-1	-1
ʌ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	-1	-1
ɔ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	-1	-1	1	-1	-1
æ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	1	-1	0	-1
ɶ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	1	1	-1	0	-1
ã	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	-1	0	-1
ɑ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	-1	-1	-1	0	0	0	-1	1	-1	1	-1	1	0	-1
ɒ̃	-1	1	1	0	1	-1	-1	1	1	-1	-1	-1	1	-1	-1	0	0	0	-1	1	-1	1	-1	1	0	-1
-	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8	8
_	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	
